Rating,Price,Skills,Weak Foot,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Popularity,Base Stats,In Game Stats,Team,Nation,League,CF,CM,RW,LM,CDM,RB,GK,CAM,RWB,LWB,CB,LB,RM,LW,ST,Card Type,Acceleration Type,Work Rate (Attack),Work Rate (Defense),Height (cm),Weight (kg)
98,3990000.0,5,4,95,96,93,96,60,76,3778,516,2513,fut icons,brazil,icons,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,icon,explosive,h,m,173.0,70.0
98,5050000.0,4,4,93,98,97,99,40,77,5392,504,2469,paris sg,argentina,ligue 1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,toty,controlled,h,l,169.0,67.0
97,2400000.0,4,5,92,97,90,94,45,90,4359,508,2449,real madrid,france,laliga santander,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,toty,controlled,h,m,185.0,81.0
97,12340000.0,5,4,99,96,88,98,44,87,3433,512,2455,paris sg,france,ligue 1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,toty,controlled,h,l,182.0,73.0
97,2540000.0,4,5,85,94,98,94,81,86,2250,538,2593,manchester city,belgium,premier league,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,toty,controlled,h,h,181.0,70.0
97,5140000.0,5,5,86,92,96,95,81,88,1213,538,2581,fut icons,france,icons,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,trophy titans - icon,controlled,h,h,185.0,77.0
96,8500000.0,5,5,97,95,81,95,45,76,4027,489,2341,fut icons,brazil,icons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,icon,controlled,m,m,183.0,78.0
96,2380000.0,5,5,85,92,96,95,75,86,1823,529,2548,fut icons,france,icons,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,icon,controlled,m,m,185.0,77.0
96,3890000.0,5,4,96,94,92,95,58,75,1244,510,2475,fut icons,brazil,icons,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,world cup icon,explosive,h,m,173.0,70.0
96,463000.0,1,3,90,95,85,97,60,95,2637,522,1002,real madrid,belgium,laliga santander,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,toty,controlled,m,m,199.0,96.0
96,2240000.0,2,3,88,65,80,83,97,94,28,507,2400,liverpool,netherlands,premier league,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,toty,lengthy,m,h,193.0,92.0
96,1000000.0,4,4,85,86,97,97,85,83,3451,533,2602,real madrid,croatia,laliga santander,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,toty,explosive,m,m,172.0,66.0
96,3150000.0,4,4,96,96,80,88,60,94,3157,514,2418,manchester city,norway,premier league,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,toty,lengthy,h,m,195.0,94.0
95,2700000.0,5,4,96,93,90,95,56,75,2128,505,2452,fut icons,brazil,icons,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,icon,explosive,h,m,173.0,69.0
95,7700000.0,5,5,95,94,80,94,46,78,1208,487,2325,fut icons,brazil,icons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,world cup icon,controlled,m,m,183.0,78.0
95,2270000.0,5,5,84,91,94,94,73,85,825,521,2516,fut icons,france,icons,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,world cup icon,controlled,m,m,185.0,77.0
95,2220000.0,4,4,88,88,92,96,90,92,-1378,546,2587,dortmund,england,bundesliga,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,toty,controlled,h,h,186.0,72.796977124183
95,870000.0,4,4,89,95,79,90,45,78,1337,476,2326,fut icons,germany,icons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,toty icon,controlled,h,m,176.0,74.0
